;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
laviejanroos;;;;;http://pbs.twimg.com/profile_images/1375074186020945926/20AKGtXV_normal.jpg;;;;;"laviejanroos

";;6.538,6;2.761,3;;;;;;;;;;;;;634;;;939;139631;145364;28801;;https://t.co/EDc4oO61f5;ÜT: 52.35089,4.886677;https://t.co/EZqjxk2dtw;;22-2-2009 09:29;Open Twitter Page for This Person;https://twitter.com/laviejanroos;No;;;;;
mrsvenderleek;;;;;http://pbs.twimg.com/profile_images/1383902687889039366/dGgCBrNE_normal.jpg;;;;;"mrsvenderleek

";;7.941,2;9.292,6;;;;;;;;;;;;;635;;;149;1176;120185;41698;;"*Militair met FLO en *Beroepsvrijwilliger
*Een blind vertrouwen in de overheid is de grootste vijand van de waarheid*
Albert Einstein";https://www.instagram.com/mrs.;https://t.co/KbszIa9HsI;;8-3-2013 17:36;Open Twitter Page for This Person;https://twitter.com/mrsvenderleek;No;;;;;
carinahilders;;;;;http://pbs.twimg.com/profile_images/432823263803490304/lsSKKa9k_normal.jpeg;;;;;"carinahilders

";;3.877,9;8.369,1;;;;;;;;;;;;;636;;;282;1354;1013;51;;Gynaecologist and managing director Reinier de Graaf Hospital Delft. Part time chair Medical Management & Leadership EUR. 'verspilling in de zorg' VWS, ACP ZiN;;;;15-2-2011 13:34;Open Twitter Page for This Person;https://twitter.com/carinahilders;No;;;;;
raoul_sb;;;;;http://pbs.twimg.com/profile_images/1301395408279789568/Gs3mVNv0_normal.jpg;;;;;"raoul_sb

";;6.128,9;2.815,1;;;;;;;;;;;;;637;;;402;1410;2029;4703;;"Radicaal en gepassioneerd over alles en niets...   
Links gutmensch | MC VPK in opleiding tot IC VPK @UMCUtrecht | https://t.co/9aA9T7u4kA | All tweets are mine";;;;15-2-2010 21:41;Open Twitter Page for This Person;https://twitter.com/raoul_sb;No;;;;;
jvanderaa3;;;;;http://pbs.twimg.com/profile_images/1287091457132765184/V4E6qzvK_normal.jpg;;;;;"jvanderaa3

";;7.119,2;7.936,6;;;;;;;;;;;;;638;;;355;438;18530;33780;;"“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe” - Albert Einstein";;;;29-6-2020 10:23;Open Twitter Page for This Person;https://twitter.com/jvanderaa3;No;;;;;
crypto67164605;;;;;http://pbs.twimg.com/profile_images/1350137168640036866/sMvg2V_f_normal.jpg;;;;;"crypto67164605

";;7.943,5;5.344,7;;;;;;;;;;;;;639;;;37;1;53;53;;#Bitcoin;;;;15-1-2021 17:45;Open Twitter Page for This Person;https://twitter.com/crypto67164605;No;;;;;
lotfyamira;;;;;http://pbs.twimg.com/profile_images/1350908935209889798/SM6hicSy_normal.jpg;;;;;"lotfyamira

";;4.221,5;7.431,2;;;;;;;;;;;;;640;;;234;455;144;1100;;Advocaat | Dierenvriend | Levensgenieter;;;;21-11-2011 10:21;Open Twitter Page for This Person;https://twitter.com/lotfyamira;No;;;;;
francvanhelden;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"francvanhelden

";;3.472,6;9.442,6;;;;;;;;;;;;;641;;;87;27;556;364;;;;;;26-10-2012 13:17;Open Twitter Page for This Person;https://twitter.com/francvanhelden;No;;;;;
npc120311438475;;;;;http://pbs.twimg.com/profile_images/1385117198675480576/GpBEw5aP_normal.jpg;;;;;"npc120311438475

Eindelijk een hastag waar ik mij
thuisvoel #wappie";;7.463,1;6.311,8;;;;;;;;;;;;;642;;;11;9;86;816;;Van wappie naar snappie tot intellectuele.;;;;19-10-2018 12:19;Open Twitter Page for This Person;https://twitter.com/npc120311438475;Yes;;;;;
go_rin_no_sho;;;;;http://pbs.twimg.com/profile_images/1372678154154827785/OWJW3EAh_normal.jpg;;;;;"go_rin_no_sho

@Fransje53229178 ...geloven dat
je pijnappelklier en sterker magnetism
veld heeft dan de aarde. Dat is
best euh.. #wappie.";;8.339,3;4.258,9;;;;;;;;;;;;;643;;;48;175;729;3790;;"https://t.co/ZJel9hCddG

best exchange for fiat ramps and never had a issue. Always using it for withdrawals.

$algo $sol $eth $ftt";Book of Five Rings;;;15-12-2017 08:07;Open Twitter Page for This Person;https://twitter.com/go_rin_no_sho;Yes;;;;;
gidsward;;;;;http://pbs.twimg.com/profile_images/1376696263878512641/TRB_lJup_normal.jpg;;;;;"gidsward

RT @kaapsviooltje1: Het leuke aan
#wappies vind ik dat het meestal
intelligente mensen zijn. Niet
doorsnee. Autonoom. Vrije geesten.
Niet b…";;1.491,3;5.845,4;;;;;;;;;;;;;644;;;2089;138;2244;1394;;"Ward van Riel, werkt aan Web~H
gaat TerraLympic Social Challenge, door fysiek water fase logica (vries&kookpunt) te vertalen naar sociaal water(digi)fase logica";"Amsterdam HuideKoper(Staat;))";https://t.co/Wzh2XGbXFN;;4-4-2011 14:44;Open Twitter Page for This Person;https://twitter.com/gidsward;Yes;;;;;
kaapsviooltje1;;;;;http://pbs.twimg.com/profile_images/2338995066/r2czkklog9l0aumk2z27_normal.gif;;;;;"kaapsviooltje1

RT @CarolineVonhoff: @MarcVegt
Weet je vast al, maar hier pleitnota
Hof van mijn mede-#wappie Jeroen
Pols. Eén van de laatste Nederlanders…";;7.142,1;6.528,3;;;;;;;;;;;;;645;;;1727;698;23379;24174;;Kunst, cultuur, natuur, wereldmuziek, bomen, bourgondiër, brocante, film, politiek, lezen, schrijven, zee, treinen, wijn, filosofie, yoga, nat-in-nat, Poldark💜;;;;27-5-2012 15:33;Open Twitter Page for This Person;https://twitter.com/kaapsviooltje1;Yes;;;;;
justcallmewag;;;;;http://pbs.twimg.com/profile_images/1376586375810662400/nsed0pfz_normal.jpg;;;;;"justcallmewag

RT @GuidoHoogervor1: #wybren #plandemic
#scamdamic #HCQisthecure #Ivermectine
#ivermectinworks #wappie #coronamaatregelen
#Demmink #aardbev…";;4.510,1;8.397,5;;;;;;;;;;;;;646;;;12;17;1511;128;;Pour tout ce qui est contre. Contre tout ce qui est pour (Pierre Dac).;Paris, France;https://t.co/VYKIXrNs7Y;;2-5-2018 19:20;Open Twitter Page for This Person;https://twitter.com/justcallmewag;Yes;;;;;
guidohoogervor1;;;;;http://pbs.twimg.com/profile_images/1365960758098604033/FDhZFGkP_normal.jpg;;;;;"guidohoogervor1

#wybren #plandemic #scamdamic #HCQisthecure
#Ivermectine #ivermectinworks #wappie
#coronamaatregelen #Demmink… https://t.co/othqz7DqaY";;4.271,0;9.185,9;;;;;;;;;;;;;647;;;4701;1340;927;2166;;Say no to the New Wold Order ! Er zou een zwaarder virus worden ingezet in februari. Veel proff. overheids/WHO verdedigers op Twitter ! CORONA = CHANTAGE !!!;;;;28-1-2021 11:50;Open Twitter Page for This Person;https://twitter.com/guidohoogervor1;Yes;;;;;
stotelesarie;;;;;http://pbs.twimg.com/profile_images/1328692094739865601/UeWmcDLP_normal.jpg;;;;;"stotelesarie

";;2.409,1;1.398,4;;;;;;;;;;;;;648;;;8;1;118;13;;;;;;15-11-2014 14:34;Open Twitter Page for This Person;https://twitter.com/stotelesarie;No;;;;;
schiedam_wtf;;;;;http://pbs.twimg.com/profile_images/951866382806933504/UMjb8ipI_normal.jpg;;;;;"schiedam_wtf

RT @DivaDivawendy: #wappie https://t.co/UKn8DGfrYN
People believe the msm and don't
even do their research, not people
dying of covid-19 p…";;3.250,2;3.280,6;;;;;;;;;;;;;649;;;1043;1612;107888;71736;;🇦🇼🇳🇱🇨🇴 #blank #fotograaf #Neboriginal #islamgeleerde #communicatieadviseur;The Netherlands;;;2-4-2012 17:24;Open Twitter Page for This Person;https://twitter.com/schiedam_wtf;Yes;;;;;
koosswaab;;;;;http://pbs.twimg.com/profile_images/1375189375756206096/To6PBuhB_normal.jpg;;;;;"koosswaab

RT @HFCBuma: Lees maar even heel
goed door. Ow en gefeliciteerd
met alweer een #wappie overwinning:
het EP heeft voor het viruspaspoort
(""c…";;6.028,8;8.885,9;;;;;;;;;;;;;650;;;1677;857;19881;19681;;Non-Conformist ‘for life’, De Kapiteinenlijn ⚓️;Kalmthout, België;;;2-7-2020 08:48;Open Twitter Page for This Person;https://twitter.com/koosswaab;Yes;;;;;
laria100;;;;;http://pbs.twimg.com/profile_images/1325440680378982400/Pi-I9Zw6_normal.jpg;;;;;"laria100

RT @PrinsesChrissie: Dus voor de
kat ze kut drie maanden opgehokt
gezeten.. Ik ben geen #wappie maar
je zou het bijna nog gaan worden
door…";;6.834,8;3.650,5;;;;;;;;;;;;;651;;;47;44;2581;2669;;;;;;6-11-2020 19:57;Open Twitter Page for This Person;https://twitter.com/laria100;Yes;;;;;
prinseschrissie;;;;;http://pbs.twimg.com/profile_images/1142888281195069441/Tzq27eOS_normal.jpg;;;;;"prinseschrissie

Dus voor de kat ze kut drie maanden
opgehokt gezeten.. Ik ben geen
#wappie maar je zou het bijna nog
gaan worden do… https://t.co/aJIYedsNKQ";;4.208,3;4.196,5;;;;;;;;;;;;;652;;;2529;4436;202618;105122;;"💙𝓜𝓲𝓬𝓱𝓪𝓮𝓵 💙𝓚𝓲𝓶𝓫𝓮𝓻𝓵𝓮𝔂 💙𝓑𝓸𝓪𝔃 

#MokumsMoppie #Prinsesje #proudgranny #Israël🇮🇱 #Ajax #Amsterdam❌❌❌";Amsterdam, Spaarndammerbuurt;;;16-1-2014 05:27;Open Twitter Page for This Person;https://twitter.com/prinseschrissie;Yes;;;;;
ferrystraatman;;;;;http://pbs.twimg.com/profile_images/1379572038407446530/yMM-Nj3d_normal.jpg;;;;;"ferrystraatman

RT @dejongcatharina: Het is weer
de grote ' #wappie heeft weer gelijk
dag' #avondklok geen effect #vaccinatiepaspoort
is een feit Alles w…";;6.727,2;1.825,2;;;;;;;;;;;;;653;;;148;43;1774;2034;;;;;;30-9-2020 22:59;Open Twitter Page for This Person;https://twitter.com/ferrystraatman;Yes;;;;;
geeskegrietje;;;;;http://pbs.twimg.com/profile_images/1127120054615728128/IO4V6zS7_normal.jpg;;;;;"geeskegrietje

RT @PrinsesChrissie: Dus voor de
kat ze kut drie maanden opgehokt
gezeten.. Ik ben geen #wappie maar
je zou het bijna nog gaan worden
door…";;8.583,2;5.826,4;;;;;;;;;;;;;654;;;3121;1890;45846;119652;;"trotse friese boerin
nakomeling van uitgebuite veenarbeiders maar hoort u mij jammeren?
blank dus racist.";;;;11-5-2019 07:54;Open Twitter Page for This Person;https://twitter.com/geeskegrietje;Yes;;;;;
dailyden2;;;;;http://pbs.twimg.com/profile_images/1381200849830080512/UGhNkaLG_normal.jpg;;;;;"dailyden2

Nu we verlost zijn van de #avondklok
en de #wappie gelijk heeft, kan
er nu op https://t.co/jLUG9EVeXf
het overheer… https://t.co/I3PiT9DtMq";;6.545,6;5.135,2;;;;;;;;;;;;;655;;;2;1;16;3;;elke dag een vers gemaakte maaltijd, vanuit huis, een unieke combinatie van de rijke Perzische eetcultuur en internationale invloeden. Gezond, vers en variatie;Den Haag;https://t.co/ZBUvyHrMDw;;11-4-2021 11:01;Open Twitter Page for This Person;https://twitter.com/dailyden2;Yes;;;;;
kasperderijke;;;;;http://pbs.twimg.com/profile_images/1062467304397647872/5VLksqBa_normal.jpg;;;;;"kasperderijke

RT @DailyDen2: Nu we verlost zijn
van de #avondklok en de #wappie
gelijk heeft, kan er nu op https://t.co/jLUG9EVeXf
het overheerlijke Aub…";;2.460,6;8.042,4;;;;;;;;;;;;;656;;;1246;383;1052;1422;;Innovation- and Blockchain Expert at Futureworld-innovation, Father of 4 great children, love rock-concerts - Rolling Stones - Scorpions - Rush and Daily-Den;Den Haag, The Netherlands;https://t.co/V12qgdro9q;;13-2-2009 10:24;Open Twitter Page for This Person;https://twitter.com/kasperderijke;Yes;;;;;
optimusbeard77;;;;;http://pbs.twimg.com/profile_images/1383716533709406211/BHBs3nll_normal.jpg;;;;;"optimusbeard77

Oh wat zijn we toch wappies he..
We doen het voor de zorg.. we doen
het voor de zorg.. Word wakker
stelletje zombie… https://t.co/wpIXNhwarO";;6.403,4;4.933,6;;;;;;;;;;;;;657;;;38;6;216;34;;“There’s more than meets the beard.”;;;;19-3-2016 06:25;Open Twitter Page for This Person;https://twitter.com/optimusbeard77;Yes;;;;;
spandproudofit;;;;;http://pbs.twimg.com/profile_images/1344608534680498177/_edIhO7G_normal.jpg;;;;;"spandproudofit

RT @CarolineVonhoff: @MarcVegt
Weet je vast al, maar hier pleitnota
Hof van mijn mede-#wappie Jeroen
Pols. Eén van de laatste Nederlanders…";;4.091,3;4.574,4;;;;;;;;;;;;;658;;;1419;1748;125929;127218;;volunteer University Hospice Demeter De Bilt | 🎾;;;;20-10-2009 11:47;Open Twitter Page for This Person;https://twitter.com/spandproudofit;Yes;;;;;
devliegererik;;;;;http://pbs.twimg.com/profile_images/1363785493356380160/BZnyDUWm_normal.jpg;;;;;"devliegererik

";;5.571,5;1.884,8;;;;;;;;;;;;;659;;;948;19885;13845;14710;;"d(A, B) = V((a1-b1)²+(a2-b2)²) heeft dit allang gezien! Sterker nog; 3 maanden geleden al gemeld. @Ewdevlieger is taken out by Twitter";;;;23-10-2020 06:16;Open Twitter Page for This Person;https://twitter.com/devliegererik;No;;;;;
bakker_hetty;;;;;http://pbs.twimg.com/profile_images/1364620204567846915/fI1X845a_normal.jpg;;;;;"bakker_hetty

";;5.161,9;8.145,2;;;;;;;;;;;;;660;;;402;172;2686;7751;;Water is zacht, maar het overwint wel alles. 🙏🏻❤️;;;;28-9-2015 20:32;Open Twitter Page for This Person;https://twitter.com/bakker_hetty;No;;;;;
viggojust;;;;;http://pbs.twimg.com/profile_images/1386732669225078786/uAzXd4ua_normal.jpg;;;;;"viggojust

RT @VossenjachtLE: #wappie en ja
hoor, die domme wappies citeren
weer maar de helft. Ernst Kuipers.
Zei vooral dat de avondklok geen
effect…";;3.850,8;5.185,2;;;;;;;;;;;;;661;;;28;3;6;1;;I said we back now;;;;26-4-2021 17:21;Open Twitter Page for This Person;https://twitter.com/viggojust;Yes;;;;;
linmar1962;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"linmar1962

RT @DivaDivawendy: #wappie https://t.co/UKn8DGfrYN
People believe the msm and don't
even do their research, not people
dying of covid-19 p…";;6.900,7;4.282,9;;;;;;;;;;;;;662;;;734;309;1348;945;;"Als beeldvorming staat voor waarheidsvinding
is tunnelvisie geboren";;;;1-2-2013 13:44;Open Twitter Page for This Person;https://twitter.com/linmar1962;Yes;;;;;
charlot2409;;;;;http://pbs.twimg.com/profile_images/1364515249785831424/i5G2hg3O_normal.jpg;;;;;"charlot2409

RT @VossenjachtLE: #wappie en ja
hoor, die domme wappies citeren
weer maar de helft. Ernst Kuipers.
Zei vooral dat de avondklok geen
effect…";;6.697,9;6.951,6;;;;;;;;;;;;;663;;;5005;4549;271580;589071;;"Pas op wees gewaarschuwd soms deel ik n virtuele lel uit. Maar meestal ben ik wel lief.
Ook te volgen op mastodon als @Charlot2409@mastodon.social";Ergens op de wereld;;;16-7-2010 12:49;Open Twitter Page for This Person;https://twitter.com/charlot2409;Yes;;;;;
hogeraad;;;;;http://pbs.twimg.com/profile_images/2262853676/HR_logo_normal.jpg;;;;;"hogeraad

";;7.824,0;3.579,4;;;;;;;;;;;;;664;;;458;31354;2602;141;;Hoge Raad der Nederlanden – hoogste rechter op het gebied van civiel recht, strafrecht en belastingrecht;Den Haag, Nederland;http://t.co/YHGuM5EoQY;;28-9-2010 20:20;Open Twitter Page for This Person;https://twitter.com/hogeraad;No;;;;;
vanderweiden;;;;;http://pbs.twimg.com/profile_images/1177554824549810177/N_ej37Oy_normal.jpg;;;;;"vanderweiden

RT @AndreDingen: @BeauRTL Mislukt
experiment #avondklok. Bal ligt
bij @HogeRaad in cassatie. Nu ook
stoppen met de andere #coronamaatregele…";;3.990,4;3.231,9;;;;;;;;;;;;;665;;;99;132;9282;4924;;1969, levensgenieter, Trotse papa, Seat, Skoda, Windows, Android, IT, Exact, Schoonhoven, Terherne, VolkerWessels Infra ICT;Schoonhoven;https://t.co/bCnZNxzRoC;;26-1-2009 15:17;Open Twitter Page for This Person;https://twitter.com/vanderweiden;Yes;;;;;
sexyfag42;;;;;http://pbs.twimg.com/profile_images/1387510510132858882/WJ8BJSxD_normal.jpg;;;;;"sexyfag42

#wappie https://t.co/jE21ti77P3";;1.629,2;7.664,8;;;;;;;;;;;;;666;;;62;68;683;2;;twt stop being homophobic satomi  momager;16 (04) they;https://t.co/gBne07mVV8;;23-4-2021 16:49;Open Twitter Page for This Person;https://twitter.com/sexyfag42;Yes;;;;;
iriedaily94;;;;;http://pbs.twimg.com/profile_images/1348633045797130240/MAcxS-uM_normal.jpg;;;;;"iriedaily94

#wappie degenen die ons wappies
noemen moeten zich maar eens flink
achter hun oor krabbelen. Je kunt
het virus maar… https://t.co/E258cMY4MG";;8.458,0;5.576,5;;;;;;;;;;;;;667;;;2268;3128;17912;29021;;Dutch Patriot, anti-lockdown, professioneel trollenvanger.;Groningen;;;11-7-2014 20:23;Open Twitter Page for This Person;https://twitter.com/iriedaily94;Yes;;;;;
conelus;;;;;http://pbs.twimg.com/profile_images/878989205417971712/WwHedTrM_normal.jpg;;;;;"conelus

RT @VossenjachtLE: #wappie en ja
hoor, die domme wappies citeren
weer maar de helft. Ernst Kuipers.
Zei vooral dat de avondklok geen
effect…";;2.631,2;4.447,2;;;;;;;;;;;;;668;;;845;743;54751;14544;;Godfried van der Meer,Tweet vooral over onrecht en racisme.ieder mens is gelijk ongeacht geloof of afkomst,,ik heb een hekel aan FVD- en PVV-fans;;;;26-7-2011 10:59;Open Twitter Page for This Person;https://twitter.com/conelus;Yes;;;;;
den_jonah;;;;;http://pbs.twimg.com/profile_images/1361815169941331971/Idt1LNDp_normal.jpg;;;;;"den_jonah

Ik wist niet dat mensen die in
de toekomst konden kijken tegenwoordig
wappie’s heten #wappie";;7.083,3;642,4;;;;;;;;;;;;;669;;;170;2;203;216;;;;;;8-6-2018 17:10;Open Twitter Page for This Person;https://twitter.com/den_jonah;Yes;;;;;
grunnenrocks;;;;;http://pbs.twimg.com/profile_images/1362030833645871106/_-PIHW2e_normal.jpg;;;;;"grunnenrocks

RT @gbleeker: Je zit 6 maanden
te janken dat je je vrijheid kwijt
bent en wat doe je op de eerste
dag van versoepeling? Je gaat met
duizend…";;5.274,3;8.451,8;;;;;;;;;;;;;670;;;6455;5869;101149;67967;;100% insanerdy garagerock/punk/music-fan in Groningen, NL, EU, husband, 3x dad, left+green, teacher HBO-ICT@hanze, @HetWijnetiket=me2, 100+% antifa #teamKauthar;Groningen, The Netherlands;https://t.co/LTLpKXowBp;;12-11-2008 09:49;Open Twitter Page for This Person;https://twitter.com/grunnenrocks;Yes;;;;;
andreasdijk;;;;;http://pbs.twimg.com/profile_images/784088344691150848/lHlpeMlQ_normal.jpg;;;;;"andreasdijk

RT @VossenjachtLE: #wappie en ja
hoor, die domme wappies citeren
weer maar de helft. Ernst Kuipers.
Zei vooral dat de avondklok geen
effect…";;7.142,7;2.705,1;;;;;;;;;;;;;671;;;294;424;25623;10885;;vrijwilliger @shbo_ockenburgh & @DeNijkamphoeve & @BPTHoutwijk twittert op persoonlijk titel;;;;15-3-2010 13:21;Open Twitter Page for This Person;https://twitter.com/andreasdijk;Yes;;;;;
visvliet;;;;;http://pbs.twimg.com/profile_images/1317850307179761666/ml83uVuz_normal.jpg;;;;;"visvliet

RT @gbleeker: Je zit 6 maanden
te janken dat je je vrijheid kwijt
bent en wat doe je op de eerste
dag van versoepeling? Je gaat met
duizend…";;6.140,1;5.320,6;;;;;;;;;;;;;672;;;564;428;31671;9637;;Bezorgd, maar een feestje moet kunnen. Sterke neiging te reageren op onwaarheden en leugens;Oostkant Lauwers;;;8-10-2010 07:01;Open Twitter Page for This Person;https://twitter.com/visvliet;Yes;;;;;
normaal_gewoon;;;;;http://pbs.twimg.com/profile_images/1353768061422219265/NEfJe5Fs_normal.jpg;;;;;"normaal_gewoon

RT @KAFKA_Dev: Dit zei elke #wappie
maanden geleden al! Luister toch
eens naar Wappies! Wappies hebben
altijd gelijk! 😉 Ik ben trots
op elk…";;2.908,2;6.086,3;;;;;;;;;;;;;673;;;1380;1171;13882;28461;;Tegen de hypocrisie, tegen globaliseren, tegen niet proportionele coronamaatregelen, voor Nederland, voor vrijheid (wat nu niet meer kan, nu anoniem op twitter);;;;25-11-2020 10:10;Open Twitter Page for This Person;https://twitter.com/normaal_gewoon;Yes;;;;;
meisje40;;;;;http://pbs.twimg.com/profile_images/1383887611530416134/v8uONRT3_normal.jpg;;;;;"meisje40

RT @KAFKA_Dev: Dit zei elke #wappie
maanden geleden al! Luister toch
eens naar Wappies! Wappies hebben
altijd gelijk! 😉 Ik ben trots
op elk…";;6.479,9;933,6;;;;;;;;;;;;;674;;;981;736;2463;3749;;"FVD❤️
Moeder van 2 dochters en 1 engelendochtertje😇
Ben een kattenmoedertje🐈
COVID-19 is fake !
FVD ❤️";Limburg Brunssum ;;;13-1-2021 17:20;Open Twitter Page for This Person;https://twitter.com/meisje40;Yes;;;;;
ron76996505;;;;;http://pbs.twimg.com/profile_images/1041363959624949767/LcBAY-gl_normal.jpg;;;;;"ron76996505

RT @KAFKA_Dev: Dit zei elke #wappie
maanden geleden al! Luister toch
eens naar Wappies! Wappies hebben
altijd gelijk! 😉 Ik ben trots
op elk…";;7.823,0;3.026,4;;;;;;;;;;;;;675;;;1448;1174;22178;32418;;Realist, hecht veel waarde aan VvMU;North Holland, The Netherlands;;;16-9-2018 10:06;Open Twitter Page for This Person;https://twitter.com/ron76996505;Yes;;;;;
linkserakkers;;;;;http://pbs.twimg.com/profile_images/1376881434963677187/A2GPBye2_normal.jpg;;;;;"linkserakkers

RT @KAFKA_Dev: Dit zei elke #wappie
maanden geleden al! Luister toch
eens naar Wappies! Wappies hebben
altijd gelijk! 😉 Ik ben trots
op elk…";;4.347,5;7.400,9;;;;;;;;;;;;;676;;;625;638;4100;7903;;Wij laten zien hoe gek globalisten en linkse rakkers zijn. There is not a ball on TV.;;;;3-3-2021 10:25;Open Twitter Page for This Person;https://twitter.com/linkserakkers;Yes;;;;;
mercenary_1981;;;;;http://pbs.twimg.com/profile_images/1387149417170542592/LFX1S333_normal.jpg;;;;;"mercenary_1981

RT @KAFKA_Dev: Dit zei elke #wappie
maanden geleden al! Luister toch
eens naar Wappies! Wappies hebben
altijd gelijk! 😉 Ik ben trots
op elk…";;1.701,4;3.897,3;;;;;;;;;;;;;677;;;400;152;4893;3894;;;;;;3-1-2018 11:28;Open Twitter Page for This Person;https://twitter.com/mercenary_1981;Yes;;;;;
silvasvapes;;;;;http://pbs.twimg.com/profile_images/1073587620784025600/LmNYoXen_normal.jpg;;;;;"silvasvapes

RT @KAFKA_Dev: Dit zei elke #wappie
maanden geleden al! Luister toch
eens naar Wappies! Wappies hebben
altijd gelijk! 😉 Ik ben trots
op elk…";;6.319,9;4.557,6;;;;;;;;;;;;;678;;;196;187;1268;2236;;;Nederland ;;;14-12-2018 14:34;Open Twitter Page for This Person;https://twitter.com/silvasvapes;Yes;;;;;
nl_ray;;;;;http://pbs.twimg.com/profile_images/1222434202311897089/dyUkhgBc_normal.jpg;;;;;"nl_ray

RT @dejongcatharina: Het is weer
de grote ' #wappie heeft weer gelijk
dag' #avondklok geen effect #vaccinatiepaspoort
is een feit Alles w…";;7.865,6;3.784,2;;;;;;;;;;;;;679;;;1130;219;2846;5225;;PC Builder, Gamer,Techhead, And much more...You just have to ask..... #GoMax;the Netherlands;;;6-3-2009 16:34;Open Twitter Page for This Person;https://twitter.com/nl_ray;Yes;;;;;
chrisleenders1;;;;;http://pbs.twimg.com/profile_images/774897671333109760/4AYt2_C0_normal.jpg;;;;;"chrisleenders1

RT @NeytAndText: @wierdduk @CelineCamille04
Dit is geen nieuws. Iedereen die
naar de staten van besmettingen,
opnames en stergevallen keek,…";;3.189,1;4.884,3;;;;;;;;;;;;;680;;;384;286;15201;27146;;International Tax, solution driven, make the complex simple as possible. Available when not practising guitar playing😎. Living the good life. Into wine and🎸🎸;Maastricht, Nederland;;;28-8-2016 12:26;Open Twitter Page for This Person;https://twitter.com/chrisleenders1;Yes;;;;;
seriousbuttrue;;;;;http://pbs.twimg.com/profile_images/1005011832447406080/klV8ofPZ_normal.jpg;;;;;"seriousbuttrue

RT @dejongcatharina: Het is weer
de grote ' #wappie heeft weer gelijk
dag' #avondklok geen effect #vaccinatiepaspoort
is een feit Alles w…";;3.105,5;5.916,6;;;;;;;;;;;;;681;;;1685;1451;61704;86219;;"Ik heb besloten dat ik een omroep opricht voor iedereen en hij heet #blank. 
 Mijn roots liggen in Nederland en in Serbia.";;;;9-1-2011 19:26;Open Twitter Page for This Person;https://twitter.com/seriousbuttrue;Yes;;;;;
capkrim50;;;;;http://pbs.twimg.com/profile_images/671991058348285952/-F5Ss4_A_normal.jpg;;;;;"capkrim50

RT @dejongcatharina: Het is weer
de grote ' #wappie heeft weer gelijk
dag' #avondklok geen effect #vaccinatiepaspoort
is een feit Alles w…";;6.688,2;8.236,4;;;;;;;;;;;;;682;;;211;140;3534;2837;;Kan niet tegen onrecht;;;;9-6-2011 12:22;Open Twitter Page for This Person;https://twitter.com/capkrim50;Yes;;;;;
hansmit6;;;;;http://pbs.twimg.com/profile_images/1249678865015943170/3Jr1ttFV_normal.jpg;;;;;"hansmit6

RT @KAFKA_Dev: Dit zei elke #wappie
maanden geleden al! Luister toch
eens naar Wappies! Wappies hebben
altijd gelijk! 😉 Ik ben trots
op elk…";;4.805,0;2.426,9;;;;;;;;;;;;;683;;;366;257;3491;2168;;Kritisch. Corona-sceptisch, golf, bridge, apotheker, biofarmacie VU, dor hout op de koop toe. Volgers die uitsluitend volgen en zelf niet tweeten blokkeer ik.;;;;13-4-2020 12:39;Open Twitter Page for This Person;https://twitter.com/hansmit6;Yes;;;;;
mariekehoogwout;;;;;http://pbs.twimg.com/profile_images/793415259335843841/y5tJMjNF_normal.jpg;;;;;"mariekehoogwout

";;4.065,3;6.973,4;;;;;;;;;;;;;684;;;2223;8272;168381;65755;;Schrijft en redigeert. Leest veel, twittert nog meer. Houdt van boeken, koffie,   @marcelhoogwout en twee zoons;;;;16-3-2009 12:27;Open Twitter Page for This Person;https://twitter.com/mariekehoogwout;No;;;;;
stevenjagt75;;;;;http://pbs.twimg.com/profile_images/1135398193062129664/LJaOpBgu_normal.jpg;;;;;"stevenjagt75

";;2.047,0;1.952,8;;;;;;;;;;;;;685;;;796;1336;33082;14696;;Zelfverklaard taaldanser. Tekstschrijver voor de zorg. Schreef voor @DeSpeld. Vader van Merijn.;Utrecht;;;6-2-2010 14:43;Open Twitter Page for This Person;https://twitter.com/stevenjagt75;No;;;;;
