;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
mikereesem;;;;;http://pbs.twimg.com/profile_images/987149128/mike_normal.jpg;;;;;"mikereesem

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;5002;4465;523980;116157;;I am a mailman who loves Los Toros and Formula 1 racing.I also love my family.I love my country🇺🇸;Katy,Texas,USA;;;12-6-2010 17:07;Open Twitter Page for This Person;https://twitter.com/mikereesem;Yes;;;;;
breemenpedia;;;;;http://pbs.twimg.com/profile_images/882690786105733121/-0-7Wi-5_normal.jpg;;;;;"breemenpedia

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;428;365;16976;17446;;"Web Designer | Front-end developer | IT specialist | Privacy | Leerrecht | Onderwijs | Zorg | Vader van twee prachtige kinderen.
Tweet op persoonlijke titel.";;;;12-2-2010 23:07;Open Twitter Page for This Person;https://twitter.com/breemenpedia;Yes;;;;;
elwoodlampblack;;;;;http://pbs.twimg.com/profile_images/1352018250712965121/yvqGlTtP_normal.jpg;;;;;"elwoodlampblack

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;1818;1272;31347;21154;;Click Pinned Tweet for Position on Govt. Nuked by thought police once. Been carrying signs 55 yrs, arms R tired. Warning, I'm Cranky as Hell and I Bite. #Resist;Bumfuggle, Red State Blues;;;8-10-2018 19:55;Open Twitter Page for This Person;https://twitter.com/elwoodlampblack;Yes;;;;;
houdafstand;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"houdafstand

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;0;50;4006;13903;;Nieuwsgierig;Nederland;;;27-8-2020 18:00;Open Twitter Page for This Person;https://twitter.com/houdafstand;Yes;;;;;
listenhere12;;;;;http://pbs.twimg.com/profile_images/1337515997767606273/Nb7vKn2H_normal.jpg;;;;;"listenhere12

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;1533;1536;57260;37841;;Miami born but Georgia heart, minus the racism*I BLOCK STUPID, RACIST, TRAITOROUS PEOPLE*Retired Forensic Accountant*Good at Critical Thinking*No DMs*2A;Florida, USA;;;11-3-2020 17:21;Open Twitter Page for This Person;https://twitter.com/listenhere12;Yes;;;;;
jihel93;;;;;http://pbs.twimg.com/profile_images/1333462150803763202/Z9v9yOp9_normal.jpg;;;;;"jihel93

RT @EricNaulleau: Nous sommes le
2 mai 2021 et @JoeBiden n’a toujours
pas été arrêté par l’armée contrairement
à ce qu’annonçaient tous les…";;;;;;;;;;;;;;;;;;;1204;1248;258521;220091;;"#JesuisCharlie #JesuisSamuelPaty
Soutien au Président #EM2022 au PM et au gouvernement
#niRN#niLFI";Seine-Saint-Denis, France;;;6-2-2010 09:23;Open Twitter Page for This Person;https://twitter.com/jihel93;Yes;;;;;
sampson_elaine;;;;;http://pbs.twimg.com/profile_images/950506687865253891/MY-vnGq4_normal.jpg;;;;;"sampson_elaine

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;1122;2569;449467;343198;;"Coll prof 30 yrs. Cog/SocPsy. married, 1 son, 1 dil. Camping, birding, snorkling, reading, history, science #Theresistance. 
Knowledge is Good.#HereRightMatters";Huntsville, AL;;;27-3-2015 16:34;Open Twitter Page for This Person;https://twitter.com/sampson_elaine;Yes;;;;;
cmdr_drsyell;;;;;http://pbs.twimg.com/profile_images/1354896076373950466/IeAOT6pr_normal.jpg;;;;;"cmdr_drsyell

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;2197;1777;121776;117962;;Mensenrechten. Satire. Politicologie/Staatsrecht #EliteDangerous #Arma3 Uw souffleur en demoniseur. Hageneis. #Teamwaterkanon;The Hague City;https://t.co/RaggnY3B1Q;;29-7-2017 12:28;Open Twitter Page for This Person;https://twitter.com/cmdr_drsyell;Yes;;;;;
zachvat;;;;;http://pbs.twimg.com/profile_images/1344628571/me-300_normal.jpg;;;;;"zachvat

The Republican Party. The GOP,
Grand Old Party. The Party of Sedition.
The Party of Insurrection. The
Party of Craz… https://t.co/5DDG4eE72l";;;;;;;;;;;;;;;;;;;428;646;263667;31408;;Retired newspaper editor. Graduate, Defense Language Institute Foreign Language Center. Mac user since 1985.;;;;31-1-2009 05:02;Open Twitter Page for This Person;https://twitter.com/zachvat;Yes;;;;;
sherlockianone;;;;;http://pbs.twimg.com/profile_images/1380966819004055553/SWq7t1Q6_normal.jpg;;;;;"sherlockianone

#TiffanyQ ⁦@TiffanyAndCo⁩ #QAnon
https://t.co/iFYiaZMi6B";;;;;;;;;;;;;;;;;;;104;242;34482;8706;;Solitary Sherlockian, 20 year expatriate, winter child. Journalist, and Bunburyist. Foreign correspondent. Cosmopolitanism. Medicare/Social Security Socialist.;Planet Earth;https://t.co/jdA5gV8JgW;;10-2-2011 18:09;Open Twitter Page for This Person;https://twitter.com/sherlockianone;Yes;;;;;
tiffanyandco;;;;;http://pbs.twimg.com/profile_images/1377966432630272001/WQtc6oQO_normal.jpg;;;;;"tiffanyandco

";;;;;;;;;;;;;;;;;;;123;1647465;16222;1397;;Expertly crafting jewelry for the world’s greatest love stories since 1837.;6 East 57th Street;https://t.co/u3MpKGlixS;;18-11-2009 01:52;Open Twitter Page for This Person;https://twitter.com/tiffanyandco;No;;;;;
grimjowl_scag;;;;;http://pbs.twimg.com/profile_images/1380585424612171779/blUHOhBY_normal.jpg;;;;;"grimjowl_scag

RT @jarue369: Did anyone hold @PrayingMedic
responsible for lying to everyone
or did we let him off the hook,
too? Same question for @Amazi…";;;;;;;;;;;;;;;;;;;1302;425;7014;8346;;Buy , sell , Trade in fish , fish tanks and equipment , IntelligentCounterspell@youtube , and bitchute , odsyee , rumble same name , weird life talk;Iowa QC Area ;https://t.co/aLOmeBAaK2;;30-10-2020 07:04;Open Twitter Page for This Person;https://twitter.com/grimjowl_scag;Yes;;;;;
oscarbrak;;;;;http://pbs.twimg.com/profile_images/1315406075391365120/wwL2pImJ_normal.jpg;;;;;"oscarbrak

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;727;677;2692;3095;;"Freelance 📷journalist (NURphoto Agency) 
Ook beschikbaar voor event- en zakelijke opdrachten.";;https://t.co/KMXF4a9C2q;;29-11-2010 10:26;Open Twitter Page for This Person;https://twitter.com/oscarbrak;Yes;;;;;
cspernit;;;;;http://pbs.twimg.com/profile_images/1311685804729794561/jZHVCksR_normal.jpg;;;;;"cspernit

RT @ATafoyovsky: 2/ Lil' SH1LLLS
and #Janon who is also a #freemason,
templar, and other white supremacist
sects, both of them have been fo…";;;;;;;;;;;;;;;;;;;194;78;3136;4494;;;;;;1-10-2020 14:49;Open Twitter Page for This Person;https://twitter.com/cspernit;Yes;;;;;
atafoyovsky;;;;;http://pbs.twimg.com/profile_images/1334391481516191745/DV1VbyEk_normal.png;;;;;"atafoyovsky

";;;;;;;;;;;;;;;;;;;187;814;7466;10122;;;;https://t.co/S9nyyl4Dod;;25-6-2020 23:30;Open Twitter Page for This Person;https://twitter.com/atafoyovsky;No;;;;;
occupyonelove;;;;;http://pbs.twimg.com/profile_images/1126233745994985473/Vs5fGvVM_normal.png;;;;;"occupyonelove

@SHEsus__Christ . sounds about
right to a #Qanon-ees or is it
#Qanon-nites? or #Qanon-s !! To
early to think!!";;;;;;;;;;;;;;;;;;;25907;25915;70801;179344;;"What level of hell?
=I drink Coffee, I know Things=

#Biden 81,283,786 + #HR1= #PRICELESS 💗

#BeFierce
#RatifyERA
#CountryOverParty
#Maskalcoholic
#Typos
#fbr";💞Sorrow is the price of #Love💞;;;5-3-2009 03:43;Open Twitter Page for This Person;https://twitter.com/occupyonelove;Yes;;;;;
shesus__christ;;;;;http://pbs.twimg.com/profile_images/1356284638759710720/ELE4hRRQ_normal.jpg;;;;;"shesus__christ

";;;;;;;;;;;;;;;;;;;16636;20351;28170;46355;;Former Educator. Blue Georgia voter. Feminist. Ally. Violently sarcastic. Slightly irreverent. she/her 🏳️‍🌈 #BLM #RESIST #FBR #Fresh 🔥😈;Atlanta, GA;;;20-6-2010 02:08;Open Twitter Page for This Person;https://twitter.com/shesus__christ;No;;;;;
petegreenland;;;;;http://pbs.twimg.com/profile_images/414495344135651328/oYW-ZSIK_normal.jpeg;;;;;"petegreenland

@BBCSport #qanon has arrived at
old Trafford";;;;;;;;;;;;;;;;;;;41;11;1273;524;;;;;;21-12-2013 15:46;Open Twitter Page for This Person;https://twitter.com/petegreenland;Yes;;;;;
bbcsport;;;;;http://pbs.twimg.com/profile_images/968086146180886528/P_nvzGw__normal.jpg;;;;;"bbcsport

";;;;;;;;;;;;;;;;;;;345;9063291;502450;2064;;Official https://t.co/pgyB0HHtMO account. Also follow @bbcmotd and @bbctms.;MediaCityUK, Salford;https://t.co/XsBH2P4slh;;14-3-2011 09:44;Open Twitter Page for This Person;https://twitter.com/bbcsport;No;;;;;
emanuelvincent8;;;;;http://pbs.twimg.com/profile_images/1386287145426456577/8CeEV83S_normal.jpg;;;;;"emanuelvincent8

@laurenboebert Why did you wear
a gun? You didn’t feel safe surrounded
by #qanon crazies??";;;;;;;;;;;;;;;;;;;441;17;93;280;;Teacher, coach. Live in Denver. I swim, bike, run, ski, read, paint, play and cook among other things. 🇫🇷 🇺🇸;;;;13-3-2021 01:24;Open Twitter Page for This Person;https://twitter.com/emanuelvincent8;Yes;;;;;
laurenboebert;;;;;http://pbs.twimg.com/profile_images/1349556794520166400/UhGQo_ke_normal.jpg;;;;;"laurenboebert

";;;;;;;;;;;;;;;;;;;1068;605080;3844;3036;;Lauren Boebert for Congress Account: Congressman for CO-03. Owner of Shooters Grill. I’m the mom who told Beto HELL NO you’re not taking our guns!;Colorado, USA;https://t.co/FL7uqF0vzW;;3-12-2019 01:14;Open Twitter Page for This Person;https://twitter.com/laurenboebert;No;;;;;
gregsimmons_1;;;;;http://pbs.twimg.com/profile_images/1249938255245717504/QW_Y2HLV_normal.jpg;;;;;"gregsimmons_1

RT @jarue369: Did anyone hold @PrayingMedic
responsible for lying to everyone
or did we let him off the hook,
too? Same question for @Amazi…";;;;;;;;;;;;;;;;;;;511;251;15048;34045;;🚫💉🚫😷🚫🤿🤺🩸⛷🫀🏂🫁🪂🧠🥊;;;;27-5-2017 01:05;Open Twitter Page for This Person;https://twitter.com/gregsimmons_1;Yes;;;;;
nanna39076633;;;;;http://pbs.twimg.com/profile_images/1178295588112207872/FRqeI93c_normal.jpg;;;;;"nanna39076633

RT @SandyTh02461164: @WASPI_Campaign
@Keir_Starmer @UniteUnion @GMB_union
@RMTunion @CWUnews @NASUWT @MhairiBlack
@fbunational @…";;;;;;;;;;;;;;;;;;;957;855;51130;53874;;"#WomensBillOfRights
#IStandWithJoanne 
#BackTo60
#ExcludedUK


Trolls will be blocked and not responded to.
Retweets not necessarily endorsements.";;;;8-8-2018 13:21;Open Twitter Page for This Person;https://twitter.com/nanna39076633;Yes;;;;;
fbunational;;;;;http://pbs.twimg.com/profile_images/1382987947801251842/L5GEoPNb_normal.jpg;;;;;"fbunational

";;;;;;;;;;;;;;;;;;;2034;35979;17988;4795;;We are the voice of firefighters and the fire and rescue service in the UK;United Kingdom;https://t.co/BINrNTvpDi;;7-4-2011 15:18;Open Twitter Page for This Person;https://twitter.com/fbunational;No;;;;;
mhairiblack;;;;;http://pbs.twimg.com/profile_images/1311716577969164288/O6ZlNfTb_normal.jpg;;;;;"mhairiblack

";;;;;;;;;;;;;;;;;;;2442;193587;4982;5900;;MP for Paisley & Renfrewshire South. Constituents can get in touch at https://t.co/G4FYSIyQYR. RTs and Favourites are not always endorsements.;Paisley & Renfrewshire South;https://t.co/fhmKsBzhfY;;5-3-2010 21:58;Open Twitter Page for This Person;https://twitter.com/mhairiblack;No;;;;;
nasuwt;;;;;http://pbs.twimg.com/profile_images/754949699233284096/W3SxjXbD_normal.jpg;;;;;"nasuwt

";;;;;;;;;;;;;;;;;;;642;42668;14269;2710;;The official account of NASUWT - The Teachers' Union.;UK;https://t.co/k24SWTByrf;;2-3-2010 09:08;Open Twitter Page for This Person;https://twitter.com/nasuwt;No;;;;;
cwunews;;;;;http://pbs.twimg.com/profile_images/1376292479318831112/_hW6suwu_normal.jpg;;;;;"cwunews

";;;;;;;;;;;;;;;;;;;364;36492;29107;8179;;The Communication Workers Union | Postal | Telecoms | Financial Services | Tech Workers | Your voice in the workplace;United Kingdom;https://t.co/czUVE8ynS1;;15-6-2011 09:55;Open Twitter Page for This Person;https://twitter.com/cwunews;No;;;;;
rmtunion;;;;;http://pbs.twimg.com/profile_images/1356258886647492611/0fIPyWeP_normal.jpg;;;;;"rmtunion

";;;;;;;;;;;;;;;;;;;1055;32382;17097;6110;;The official Twitter account of the National Union of Rail, Maritime and Transport Workers (RMT). Contact info@rmt.org.uk https://t.co/JtiitqEeTe;Britain;http://t.co/5Zzb9Xiv5S;;23-3-2009 15:24;Open Twitter Page for This Person;https://twitter.com/rmtunion;No;;;;;
gmb_union;;;;;http://pbs.twimg.com/profile_images/1346038298322599937/QiCYVaPb_normal.jpg;;;;;"gmb_union

";;;;;;;;;;;;;;;;;;;1305;44879;11950;11378;;Building a 21st century union ✊ Winning for members since 1889 🙌 620,000 of us, working every job imaginable 💪 Get us on your side;United Kingdom and Ireland;https://t.co/4jDYaGXRpc;;6-7-2011 15:00;Open Twitter Page for This Person;https://twitter.com/gmb_union;No;;;;;
uniteunion;;;;;http://pbs.twimg.com/profile_images/378800000481815903/85869b3a8fd3d0105f2f48b506b1159e_normal.png;;;;;"uniteunion

";;;;;;;;;;;;;;;;;;;1321;4263;17344;56;;Unite Union is a union of fast food, cinema, call centre, casino, hotel, english language, security workers and more - not to be mistaken for @unitetheunion UK;Aotearoa/New Zealand;https://t.co/pzJpq1XMyR;;7-4-2009 02:59;Open Twitter Page for This Person;https://twitter.com/uniteunion;No;;;;;
keir_starmer;;;;;http://pbs.twimg.com/profile_images/1323314457892790276/EfBgm41w_normal.jpg;;;;;"keir_starmer

";;;;;;;;;;;;;;;;;;;413;1110162;6766;135;;Leader of the Labour Party. Member of Parliament for Holborn and St Pancras. Former Director of Public Prosecutions.;United Kingdom;https://t.co/oIgN8rLKRY;;3-4-2014 12:37;Open Twitter Page for This Person;https://twitter.com/keir_starmer;No;;;;;
waspi_campaign;;;;;http://pbs.twimg.com/profile_images/1207479218923298817/Mx8fqMct_normal.jpg;;;;;"waspi_campaign

";;;;;;;;;;;;;;;;;;;3984;21816;32355;26981;;Official #WASPI Campaign - Women Against State Pension Inequality campaigning against unfair changes to State Pension Age imposed on women born in the 50s;;https://t.co/jBuDM6xWvM;;11-9-2015 16:31;Open Twitter Page for This Person;https://twitter.com/waspi_campaign;No;;;;;
sandyth02461164;;;;;http://pbs.twimg.com/profile_images/1323023933671657479/coE4HHrD_normal.jpg;;;;;"sandyth02461164

@WASPI_Campaign @Keir_Starmer @UniteUnion
@GMB_union @RMTunion @CWUnews @NASUWT
@MhairiBlack @fbunational… https://t.co/kCmtJVjUYs";;;;;;;;;;;;;;;;;;;551;247;11834;11178;;Retired Firefighter;Lisburn Northern Ireland;;;17-7-2013 15:45;Open Twitter Page for This Person;https://twitter.com/sandyth02461164;Yes;;;;;
pat625t;;;;;http://pbs.twimg.com/profile_images/471024020771467264/VxG9qiLS_normal.jpeg;;;;;"pat625t

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;2406;2468;187221;124061;;Like inspirational stories, jokes, health info & scenery;;;;18-4-2009 00:38;Open Twitter Page for This Person;https://twitter.com/pat625t;Yes;;;;;
cambskeptics;;;;;http://pbs.twimg.com/profile_images/1145601405308342272/IGNR_PJg_normal.jpg;;;;;"cambskeptics

A series of bizarre images posted
to Telegram in April 2021 by the
#QAnon-supporting attorney appeared
to reference… https://t.co/17BFG3vhgi";;;;;;;;;;;;;;;;;;;3420;2043;14509;1312;;Promoting science, positive skepticism and critical thinking skills via public engagement. We also host monthly Skeptics in the Pub and social events.;Cambridge, UK;https://t.co/dYNpiXjDiJ;;9-10-2009 19:09;Open Twitter Page for This Person;https://twitter.com/cambskeptics;Yes;;;;;
anonymous4835;;;;;http://pbs.twimg.com/profile_images/968762173483835392/2zA0TYKf_normal.jpg;;;;;"anonymous4835

RT @jarue369: Did anyone hold @PrayingMedic
responsible for lying to everyone
or did we let him off the hook,
too? Same question for @Amazi…";;;;;;;;;;;;;;;;;;;2146;4477;194439;68865;;If you're not angry you haven't been paying attention;;;;14-6-2011 21:04;Open Twitter Page for This Person;https://twitter.com/anonymous4835;Yes;;;;;
ericsanard;;;;;http://pbs.twimg.com/profile_images/1388478546717380609/a3cDlM5f_normal.jpg;;;;;"ericsanard

@DJAM0901 @coeurdestemps @OffLalanne
@ZhangZhangZhang @TedericD Et vous
n'avez aucun doute sur ce que vous
lisez ?… https://t.co/7lCHa0noPW";;;;;;;;;;;;;;;;;;;174;16;326;18;;Infectilogue, professeur de biologie, spécialiste des traitements par #chloroquine, #Ivermectine, #baratine, #clandestine, #citadine, #mezzanine, #mousseline;;;;1-5-2021 12:46;Open Twitter Page for This Person;https://twitter.com/ericsanard;Yes;;;;;
tedericd;;;;;http://pbs.twimg.com/profile_images/1007747494506311682/zU1B31kx_normal.jpg;;;;;"tedericd

";;;;;;;;;;;;;;;;;;;78;54;3067;3578;;La 🇨🇵 c'est l'Etat: administratif, juridique, politique - La Nation: culturelle et humaine - La Patrie sentimentale et affective;Gascogne ;;;21-4-2018 21:00;Open Twitter Page for This Person;https://twitter.com/tedericd;No;;;;;
zhangzhangzhang;;;;;http://pbs.twimg.com/profile_images/462684196582879232/WNnwGS0P_normal.jpeg;;;;;"zhangzhangzhang

";;;;;;;;;;;;;;;;;;;255;13899;20374;32369;;Violinist. Leader of the ZhangZhang Band. Founder of ZHANGOMUSIQ and The Monaco String Quartet Ensemble. Member of Orchestre Philharmonique de Monte Carlo.;Monaco;https://t.co/F7hAVSVRMz;;23-5-2009 00:51;Open Twitter Page for This Person;https://twitter.com/zhangzhangzhang;No;;;;;
offlalanne;;;;;http://pbs.twimg.com/profile_images/1386405899967807494/KafVb7gx_normal.jpg;;;;;"offlalanne

";;;;;;;;;;;;;;;;;;;218;11599;7788;3204;;"Francis Lalanne, en attente de certification !
#Nuremberg2 
Poète et Homme politique Honnête !

Blog : https://t.co/vcKuNsoNzF
Youtube FL Média : https://t.co/AF3LEjX01D";France;;;8-3-2021 16:35;Open Twitter Page for This Person;https://twitter.com/offlalanne;No;;;;;
coeurdestemps;;;;;http://pbs.twimg.com/profile_images/1369706423207223300/h4N6ASk8_normal.jpg;;;;;"coeurdestemps

";;;;;;;;;;;;;;;;;;;1382;751;27734;28908;;« Il est plus facile de tromper les gens que de les convaincre qu'ils ont été trompés » Mark Twain;;;;27-12-2020 12:48;Open Twitter Page for This Person;https://twitter.com/coeurdestemps;No;;;;;
djam0901;;;;;http://pbs.twimg.com/profile_images/1385287689658937345/H7tN30hB_normal.jpg;;;;;"djam0901

";;;;;;;;;;;;;;;;;;;778;290;20875;26885;;"""Un pour tous, tous pour un""✨😉😉✨✨✨✨✨✨
Ensemble nous sommes plus forts
NOUS NE SOMMES PAS DES RATS DE LABO👀👀👀";;;;28-12-2014 10:28;Open Twitter Page for This Person;https://twitter.com/djam0901;No;;;;;
ravioliuestern;;;;;http://pbs.twimg.com/profile_images/1185553671058276353/z0_bFcNq_normal.jpg;;;;;"ravioliuestern

+++SEGUITE ButaCOMICS SE VI PIACE
LA CARBONARA+++ 🌐 https://t.co/r1t0gDHXQs
🐃 #RavioliUèstern #repost 532:…
https://t.co/cJ46jwLWQT";;;;;;;;;;;;;;;;;;;225;1049;2310;267;;Non sono una città del Minnesota.;Fano, (PU), Italy;https://t.co/LG7h9Ebl7k;;28-8-2009 08:58;Open Twitter Page for This Person;https://twitter.com/ravioliuestern;Yes;;;;;
jomaas;;;;;http://pbs.twimg.com/profile_images/1229032084460769285/CFF0IIws_normal.jpg;;;;;"jomaas

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;2510;1512;85237;92385;;"A very happy not so young (grand)father looking forward to a bright and wonderful future for our offspring. 
Yu no man broko mi.";Almere;;;31-3-2009 06:52;Open Twitter Page for This Person;https://twitter.com/jomaas;Yes;;;;;
christinehedlin;;;;;http://pbs.twimg.com/profile_images/1352000070929899520/-Zjb0g6P_normal.jpg;;;;;"christinehedlin

RT @RNS: A new @PRRIpoll and @ifyc
survey suggests vaccine hesitancy
and anti-vaccine sentiment is significant
among faith groups, but so i…";;;;;;;;;;;;;;;;;;;178;112;126;300;;Religion reporter @PublicSourcePA and @ACLS1919 Leading Edge Fellow. Writer, researcher, & enthusiast, US literatures and religions. PhD from UIUC. she/her;Azusa, CA;;;6-7-2019 17:56;Open Twitter Page for This Person;https://twitter.com/christinehedlin;Yes;;;;;
ifyc;;;;;http://pbs.twimg.com/profile_images/902970320776077312/mQ1S-dJT_normal.jpg;;;;;"ifyc

";;;;;;;;;;;;;;;;;;;902;12929;15385;5856;;IFYC equips students, educators, and whole institutions with the vision, knowledge, and skills to advance interfaith cooperation on campus and far beyond.;Chicago, IL, USA;https://t.co/sCAV2G4pRm;;26-8-2007 07:23;Open Twitter Page for This Person;https://twitter.com/ifyc;No;;;;;
prripoll;;;;;http://pbs.twimg.com/profile_images/741365753253789696/w77xhtxk_normal.jpg;;;;;"prripoll

";;;;;;;;;;;;;;;;;;;1933;25401;30189;1497;;Nonprofit, nonpartisan organization conducting research at the intersection of religion, values, and public life.;Washington, DC;https://t.co/YvqA8xEwaW;;7-1-2010 17:25;Open Twitter Page for This Person;https://twitter.com/prripoll;No;;;;;
rns;;;;;http://pbs.twimg.com/profile_images/1360333167991914513/4IOwc1Bk_normal.jpg;;;;;"rns

A new @PRRIpoll and @ifyc survey
suggests vaccine hesitancy and
anti-vaccine sentiment is significant
among faith g… https://t.co/KP5gXr3KNc";;;;;;;;;;;;;;;;;;;19624;89597;68618;21672;;Independent, nonprofit and award-winning reporting on religion, culture and ethics around the world.;USA;https://t.co/WMWHPUKqnD;;30-3-2009 22:03;Open Twitter Page for This Person;https://twitter.com/rns;Yes;;;;;
nickbackovic;;;;;http://pbs.twimg.com/profile_images/1273274729688961024/9fvPugq2_normal.jpg;;;;;"nickbackovic

RT @amagicwindow: Here's a Google
Doc that I'll be updating as I
go. This is a rough, uncurated
list of archives and is based solely
on th…";;;;;;;;;;;;;;;;;;;1604;2973;19915;8754;;Canuck in the UK. Post-PhD life. Contributing Editor/Special Investigations Lead @LogicallyAI vs. mis/disinfo. DM for Signal. Views = own. RT≠ endorsement.;;;;21-3-2011 16:44;Open Twitter Page for This Person;https://twitter.com/nickbackovic;Yes;;;;;
amagicwindow;;;;;http://pbs.twimg.com/profile_images/1388253840428965891/FzEyN609_normal.jpg;;;;;"amagicwindow

";;;;;;;;;;;;;;;;;;;360;286;1439;4300;;Software Engineer, #OSINT Enthusiast, Activist. (he/him) I don't want to argue about QAnon. Twitter is the real psyop.;;;;14-3-2021 04:46;Open Twitter Page for This Person;https://twitter.com/amagicwindow;No;;;;;
truitje15;;;;;http://pbs.twimg.com/profile_images/1260931156213510147/m9AdHyzN_normal.jpg;;;;;"truitje15

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;803;513;10756;31056;;"#ikdoewelmee dol op dieren, taart, leuke mensen en middeleeuwse kunst. 
Mensen die corona ontkennen, Q-wappies en andere griezels worden geblokkeerd.";;;;9-5-2020 00:03;Open Twitter Page for This Person;https://twitter.com/truitje15;Yes;;;;;
f_wenninger;;;;;http://pbs.twimg.com/profile_images/1301075907789172737/ltcNPiQE_normal.jpg;;;;;"f_wenninger

RT @G_der_Gegenwart: Die #QAnon-Bewegung
verbreitet #Verschwörungstheorien
über gequälte Kinder. Auch wenn
es anders scheinen mag: Das ist…";;;;;;;;;;;;;;;;;;;1581;2077;2038;5703;;Leiter Institut für Historische Sozialforschung, Senior Research Fellow @univienna, forscht zu österreichischer Zeitgeschichte, hier privat.;Wien;https://t.co/uU9C5ibEvR;;26-9-2012 20:36;Open Twitter Page for This Person;https://twitter.com/f_wenninger;Yes;;;;;
pietlekkerkerk;;;;;http://pbs.twimg.com/profile_images/1150335025981927424/vRTcLAAd_normal.jpg;;;;;"pietlekkerkerk

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;2353;5314;44481;66416;;* politiek * geschiedenis * ✒️;Nederland;;;18-11-2010 23:36;Open Twitter Page for This Person;https://twitter.com/pietlekkerkerk;Yes;;;;;
lindakreu;;;;;http://pbs.twimg.com/profile_images/1385900430803226626/4sN8RAou_normal.jpg;;;;;"lindakreu

RT @G_der_Gegenwart: Die #QAnon-Bewegung
verbreitet #Verschwörungstheorien
über gequälte Kinder. Auch wenn
es anders scheinen mag: Das ist…";;;;;;;;;;;;;;;;;;;1067;978;4585;15352;;catholic theologian/feminist/teacher basetrades in religion, politics and accessories;;;;24-6-2011 09:29;Open Twitter Page for This Person;https://twitter.com/lindakreu;Yes;;;;;
texansrevolt;;;;;http://pbs.twimg.com/profile_images/1324892680262995968/D5hDY1fE_normal.jpg;;;;;"texansrevolt

#Christian Child Porn 🙄 There
is a reason #Qanon and evangelicals
are so focused on it. https://t.co/yiYGFBpxhx";;;;;;;;;;;;;;;;;;;121;431;100419;167452;;🇺🇸Vaccinated thanks to Biden Harris 🇺🇸Investigate and prosecute Trump and his Domestic Terrorist Traitors 🇺🇸Our Democracy Must Stand 🇺🇸 1/6/2021;San Antonio, TX;;;19-3-2016 23:50;Open Twitter Page for This Person;https://twitter.com/texansrevolt;Yes;;;;;
